scenario,fresh_evidence_case,checked_combination,execution_status,pf6_coverage_status
pf6_learning_loop,pf5_mixed_long_training,learning plus later branch execution,PASS,PASS_COMPOSITE_FRESH_RTL
pf6_mispredict_train_recover,pf5_pred_nt_actual_t,NT-to-T recovery and training,PASS,PASS_COMPOSITE_FRESH_RTL
pf6_rvc_learning_recovery,pf5_rvc_commit,RVC recovery and Commit training,PASS,PASS_COMPOSITE_FRESH_RTL
pf6_jal_conditional_mix,pf5_jal_no_training,JAL filtering plus conditional suite,PASS,PASS_COMPOSITE_FRESH_RTL
pf6_jalr_conditional_mix,pf5_jalr_no_training,JALR filtering plus conditional suite,PASS,PASS_COMPOSITE_FRESH_RTL
pf6_exception_vs_mispredict,pf5_exception_no_training,precise exception priority,PASS,PASS_COMPOSITE_FRESH_RTL
pf6_fault_refetch_training,pf5_pred_t_actual_nt_fault,masked fault refetch,PASS,PASS_COMPOSITE_FRESH_RTL
pf6_ftq_wrap_train_recover,pf5_ftq_wrap_training,FTQ wrap and training,PASS,PASS_COMPOSITE_FRESH_RTL
pf6_generation_reuse_training,pf5_same_packet_kill,full-core reuse plus PF3 generation-qualified RTL,PASS,PASS_COMPOSITE_FRESH_RTL
pf6_rv64m_control_mix,pf5_mixed_long_training,full predictor path plus fresh R2 RV64M RTL,PASS,PASS_COMPOSITE_FRESH_RTL
pf6_backpressure_control_mix,pf5_mixed_long_training,full predictor path plus fresh B3I backpressure RTL,PASS,PASS_COMPOSITE_FRESH_RTL
pf6_long_mixed_control,pf5_mixed_long_training,long mixed control,PASS,PASS_COMPOSITE_FRESH_RTL
