hierarchy,instance,step_top_count,core_top_count,step_top_lut,core_top_lut,delta,source_function,source_file,suspected_reason,evidence_type,confidence,candidate
top_summary,Expression,1,1,85,103,18,top/control expressions,src/boom_core_top.cpp,reset-triggered product state elaboration versus direct diagnostic elaboration,REPORT_DIRECT,HIGH,none
top_summary,FIFO,1,1,335,335,0,PipeSignals stream storage,include/boom_interfaces.hpp,same top-level stream storage,REPORT_DIRECT,HIGH,none
top_summary,Instance,1,1,34537,44302,9765,retained helpers and core modules,src/boom_core_step.cpp,reset-triggered product state elaboration versus direct diagnostic elaboration,REPORT_DIRECT,HIGH,T4 reset attribution completed
top_summary,Memory,1,1,258,730,472,persistent BoomCoreState arrays,include/boom_state.hpp,reset-triggered product state elaboration versus direct diagnostic elaboration,REPORT_DIRECT,HIGH,T4 reset attribution completed
top_summary,Multiplexer,1,1,10135,37816,27681,state/RAM port arbitration,generated RTL,reset-triggered product state elaboration versus direct diagnostic elaboration,REPORT_DIRECT,HIGH,T4 reset attribution completed
top_summary,Register,0,0,0,0,0,top/FSM/control registers,src/boom_core_top.cpp,reset-triggered product state elaboration versus direct diagnostic elaboration,REPORT_DIRECT,HIGH,none
core_helper,branch_module,1,1,12255,15506,3251,branch_module,src/branch.cpp,same helper connected through different resettable state/RAM port representation,REPORT_DIRECT,HIGH,no helper rewrite; T4 isolated reset elaboration
core_helper,decode_module,1,1,1316,1215,-101,decode_module,src/decode.cpp,same helper connected through different resettable state/RAM port representation,REPORT_DIRECT,HIGH,no helper rewrite; T4 isolated reset elaboration
core_helper,execute_module,1,1,3527,5652,2125,execute_module,src/execute.cpp,same helper connected through different resettable state/RAM port representation,REPORT_DIRECT,HIGH,no helper rewrite; T4 isolated reset elaboration
core_helper,frontend_module,1,1,901,1273,372,frontend_module,src/frontend.cpp,same helper connected through different resettable state/RAM port representation,REPORT_DIRECT,HIGH,no helper rewrite; T4 isolated reset elaboration
core_helper,issue_module,1,1,11664,14163,2499,issue_module,src/issue.cpp,same helper connected through different resettable state/RAM port representation,REPORT_DIRECT,HIGH,no helper rewrite; T4 isolated reset elaboration
core_helper,lsu_module,1,1,1976,2634,658,lsu_module,src/lsu.cpp,same helper connected through different resettable state/RAM port representation,REPORT_DIRECT,HIGH,no helper rewrite; T4 isolated reset elaboration
core_helper,rename_module,1,1,1119,1971,852,rename_module,src/rename.cpp,same helper connected through different resettable state/RAM port representation,REPORT_DIRECT,HIGH,no helper rewrite; T4 isolated reset elaboration
core_helper,rob_allocate,1,1,85,96,11,rob_allocate,src/rob.cpp,same helper connected through different resettable state/RAM port representation,REPORT_DIRECT,HIGH,no helper rewrite; T4 isolated reset elaboration
core_helper,rob_commit_module,1,1,1694,1792,98,rob_commit_module,src/commit.cpp,same helper connected through different resettable state/RAM port representation,REPORT_DIRECT,HIGH,no helper rewrite; T4 isolated reset elaboration
cycle_state_mux,branch,1,1,177,177,0,branch state routing,include/boom_state.hpp,whole-state reset suppresses partitioning and expands RAM-port arbitration,REPORT_DIRECT+RTL_INSTANCE,HIGH,T4 reset attribution completed; reset required
cycle_state_mux,control_fsm,1,1,65,106,41,control_fsm state routing,include/boom_state.hpp,whole-state reset suppresses partitioning and expands RAM-port arbitration,REPORT_DIRECT+RTL_INSTANCE,HIGH,T4 reset attribution completed; reset required
cycle_state_mux,decode,1,1,243,4340,4097,decode state routing,include/boom_state.hpp,whole-state reset suppresses partitioning and expands RAM-port arbitration,REPORT_DIRECT+RTL_INSTANCE,HIGH,T4 reset attribution completed; reset required
cycle_state_mux,execute,1,1,189,4540,4351,execute state routing,include/boom_state.hpp,whole-state reset suppresses partitioning and expands RAM-port arbitration,REPORT_DIRECT+RTL_INSTANCE,HIGH,T4 reset attribution completed; reset required
cycle_state_mux,frontend,1,1,41,45,4,frontend state routing,include/boom_state.hpp,whole-state reset suppresses partitioning and expands RAM-port arbitration,REPORT_DIRECT+RTL_INSTANCE,HIGH,T4 reset attribution completed; reset required
cycle_state_mux,issue,1,1,4333,8514,4181,issue state routing,include/boom_state.hpp,whole-state reset suppresses partitioning and expands RAM-port arbitration,REPORT_DIRECT+RTL_INSTANCE,HIGH,T4 reset attribution completed; reset required
cycle_state_mux,lsu,1,1,791,1295,504,lsu state routing,include/boom_state.hpp,whole-state reset suppresses partitioning and expands RAM-port arbitration,REPORT_DIRECT+RTL_INSTANCE,HIGH,T4 reset attribution completed; reset required
cycle_state_mux,other,1,1,140,149,9,other state routing,include/boom_state.hpp,whole-state reset suppresses partitioning and expands RAM-port arbitration,REPORT_DIRECT+RTL_INSTANCE,HIGH,T4 reset attribution completed; reset required
cycle_state_mux,rename,1,1,2212,13199,10987,rename state routing,include/boom_state.hpp,whole-state reset suppresses partitioning and expands RAM-port arbitration,REPORT_DIRECT+RTL_INSTANCE,HIGH,T4 reset attribution completed; reset required
cycle_state_mux,rob,1,1,1885,5205,3320,rob state routing,include/boom_state.hpp,whole-state reset suppresses partitioning and expands RAM-port arbitration,REPORT_DIRECT+RTL_INSTANCE,HIGH,T4 reset attribution completed; reset required
cycle_state_mux,stream_adapter,1,1,59,118,59,stream_adapter state routing,include/boom_state.hpp,whole-state reset suppresses partitioning and expands RAM-port arbitration,REPORT_DIRECT+RTL_INSTANCE,HIGH,T4 reset attribution completed; reset required
