# BOOM-HLS State Equivalence, Gate 4.0 W2 Update 2026-07-30
State,BOOM Expected,HLS Location,Status,Notes
PC and fetch request id,"Frontend tracks PC, outstanding fetch metadata, redirects, and kills stale responses",frontend.pc/fetch_id/pending_fetch_id,PARTIALLY_VERIFIED,"Monotonic fetch_id and stale response rejection verified; no ICache/FTQ/fetch buffer"
Fetch response packet,"ICache response feeds fetch/decode with exception metadata",frontend.fetch_uop/fetch_packet_valid,PARTIALLY_VERIFIED,"Delayed response verified; exceptions partial"
Speculative integer map table,"Rename reads speculative map for logical sources and updates ldst mapping",rename.int_map_table.map_table,PARTIALLY_VERIFIED,"WAR/WAW/RAW pass; Gate 3.3 branch snapshot restore implemented for supported subset"
Committed integer map table,"Commit map tracks architectural mapping",rename.int_map_table.committed_map_table,PARTIALLY_VERIFIED,"Updated only on commit for integer dst; used for coarse recovery"
Branch recovery state,"BOOM tracks active branch tags, snapshot validity, and per-tag allocation lists",branch_state.active_mask/tag_valid/snapshot_valid/br_alloc_lists,PARTIALLY_VERIFIED,"Gate 3.5 tested alternatives but accepted none; accepted br_alloc_lists remains 416x1 RAM_AUTO_1R1W storage"
Branch map snapshots,"BOOM snapshots map table per branch tag",rename.int_map_table.br_snapshots,PARTIALLY_VERIFIED,"Gate 3.4 confirms snapshots as 256x8 RAM_AUTO_1R1W storage; cycle proof unavailable"
Integer free list,"Physical destination allocation and stale destination release",rename.int_free_list,PARTIALLY_VERIFIED,"stale_pdst recycle passes; Gate 3.3 per-branch allocation-list rollback implemented"
Busy table,"Tracks physical register readiness and wakeup",rename.int_free_list.busy_table,PARTIALLY_VERIFIED,"allocation/free bits exist; Gate 3.3 recovery rebuilds busy state functionally from valid busy ROB entries; full wakeup network incomplete"
ROB entries,"32-entry ROB with allocate, complete, commit, exception/flush",rob.entries/head/tail/maybe_full,PARTIALLY_VERIFIED,"full/wrap/commit order pass; Gate 3.3 younger branch kill implemented; PNR/exception timing partial"
ALU issue queue,"8-entry collapsing integer issue queue",issue.alu_iq,PARTIALLY_VERIFIED,"W2 independently generates oldest-ready MEM and INT grants from the shared implemented IQ; branch kill/resolve, stable compaction, ready dispatch bypass/enqueue, lane backpressure, retained generated grants, and exception removal pass; acceptance remains one; full blocked-IQ dispatch retry remains unavailable"
Mem issue queue,"8-entry memory issue queue",not implemented,NOT_IMPLEMENTED,"No Mem IQ"
FPU issue queue,"8-entry FPU issue queue",not implemented,NOT_IMPLEMENTED,"No FPU IQ"
Integer PRF,"52 physical integer registers",int_rf[52],PARTIALLY_VERIFIED,"architectural integer tests pass; port structure differs"
FP PRF,"48 physical FP registers",fp_rf[48],NOT_IMPLEMENTED,"storage exists but FPU path absent"
Branch update,"Branch resolution, redirect, masks, tags",brupdate,PARTIALLY_VERIFIED,"Gate 3.3 branch tags/masks and mispredict recovery implemented for supported subset; no official BOOM trace evidence"
CSR,"Machine CSR file",csr,PARTIALLY_VERIFIED,"cycle/instret/ECALL subset only"
LSU queues,"LDQ/STQ depth 8",lsu,PARTIALLY_VERIFIED,"minimal integer load/store path implemented and tested; no DCache/TLB/replay/miss/AMO/LRSC/full forwarding"
Global flush,"Pipeline flush on redirect/exception",global_flush and per-module clearing,PARTIALLY_VERIFIED,"Gate 3.3 selective branch recovery implemented; exception/global flush remains coarse"
