state_or_transition,BOOM_evidence,HLS_evidence,status,notes
active_branch_mask,"BranchMaskGenerationLogic.branch_mask UInt<8> at chipyard.TestHarness.SmallBoomConfig.fir:232977; update at 233050-233059","include/boom_state.hpp:53-67; src/rename.cpp:77-89; src/branch.cpp:212-223",IMPLEMENTED,"HLS tracks active tags with an 8-bit mask."
branch_tag_allocation,"Free-tag scan and br_tag output at chipyard.TestHarness.SmallBoomConfig.fir:232983-233044","src/rename.cpp:15-24; src/rename.cpp:81-88",IMPLEMENTED,"HLS allocates the lowest free tag and backpressures when all bits are active."
branch_full_backpressure,"is_full when branch_mask is all ones at chipyard.TestHarness.SmallBoomConfig.fir:232979-232982","src/rename.cpp:81-85",IMPLEMENTED,"HLS stops rename for a branch when no tag is available."
uop_branch_mask_assignment,"br_mask output clears resolve_mask at chipyard.TestHarness.SmallBoomConfig.fir:233045-233047","src/rename.cpp:77-89",IMPLEMENTED,"HLS assigns inherited active mask before allocating the uop's own branch tag."
rename_map_snapshot,"br_snapshots[ren_br_tag][0..31] <= remap_table[1] at chipyard.TestHarness.SmallBoomConfig.fir:233237-233269","include/boom_state.hpp:35-42; src/rename.cpp:53-58; src/rename.cpp:98-112",IMPLEMENTED,"HLS snapshots the post-remap integer map for each branch tag."
rename_map_restore,"map_table <= br_snapshots[br_tag] on mispredict at chipyard.TestHarness.SmallBoomConfig.fir:233271-233304","src/branch.cpp:183-191; src/branch.cpp:246",IMPLEMENTED,"HLS restores the branch-tag snapshot and keeps logical x0 mapped to physical 0."
branch_alloc_lists,"br_alloc_lists update and br_deallocs rollback at chipyard.TestHarness.SmallBoomConfig.fir:233554-233660","include/boom_state.hpp:53-67; src/rename.cpp:41-50; src/branch.cpp:193-210",IMPLEMENTED,"HLS records post-branch physical destinations for active tags and recycles wrong-path registers."
free_list_duplicate_safety,"free-list is a bit mask in BOOM generated FIRRTL at chipyard.TestHarness.SmallBoomConfig.fir:233661-233666","src/branch.cpp:23-45; src/commit.cpp:8-24",IMPLEMENTED,"HLS queue free-list uses active-window duplicate checks for rollback and stale-pdst recycle."
busy_table_read_write,"RenameBusyTable busy_table update and source responses at chipyard.TestHarness.SmallBoomConfig.fir:233899-233938","src/rename.cpp:91-96; src/execute.cpp:21-78; src/lsu.cpp:148-165",IMPLEMENTED,"HLS uses the integer free-list busy table for source busy flags and writeback clears."
busy_recovery,"Generated busy table has rebusy/writeback behavior at chipyard.TestHarness.SmallBoomConfig.fir:233916-233921","src/branch.cpp:173-181; src/branch.cpp:250",FUNCTIONAL_SUBSTITUTE,"HLS rebuilds busy state from valid busy ROB entries after recovery; structural cycle match is not proven."
issue_slot_kill_clear,"IssueSlot clears resolve_mask and kills on mispredict-mask intersection at chipyard.TestHarness.SmallBoomConfig.fir:219411-219420","src/branch.cpp:89-104; src/issue.cpp:40-68",IMPLEMENTED,"HLS removes killed issue entries and clears resolved branch bits."
execute_kill_clear,"Functional units kill requests/results and clear masks at chipyard.TestHarness.SmallBoomConfig.fir:205114-205208","src/branch.cpp:106-112; src/execute.cpp:21-78",IMPLEMENTED,"HLS suppresses wrong-path ALU results and writeback."
lsu_ldq_stq_kill_clear,"LSU clears/kills STQ and LDQ entries at chipyard.TestHarness.SmallBoomConfig.fir:293328-293547","src/branch.cpp:114-152; src/lsu.cpp:148-165",IMPLEMENTED,"HLS clears wrong-path LDQ/STQ state and suppresses killed memory results."
committed_store_protection,"BOOM generated assertion forbids branch killing committed stores at chipyard.TestHarness.SmallBoomConfig.fir:293343-293535","src/branch.cpp:114-152; tb/differential/branch_snapshot_tests.cpp",TESTED,"Directed tests cover wrong-path store suppression; full BOOM LSU is still out of scope."
rob_younger_kill,"BOOM uops carry br_mask/br_tag and dispatch stalls on mispredict at chipyard.TestHarness.SmallBoomConfig.fir:272710-272714","src/branch.cpp:154-171; src/rob.cpp:16-20",IMPLEMENTED,"HLS no longer performs a commit-stage full ROB branch flush and instead removes younger entries during branch recovery."
frontend_decode_rename_kill,"BOOM dispatch blocks during mispredict at chipyard.TestHarness.SmallBoomConfig.fir:272710-272714","src/branch.cpp:225-244",IMPLEMENTED,"HLS clears decode/rename and frontend pending state on mispredict redirect."
