artifact,purpose
pf0_results.md,canonical PF0 verdict and status outputs
baseline_manifest.md,Git and frozen product baseline
git_status_before.txt,pre-review branch HEAD log and dirty-state record
accepted_stage_manifest.md,accepted Gate 5.3 P1 P2 F1 and Hygiene commits
current_product_control_flow.md,current canonical source flow
proposed_product_control_flow.md,target staged product flow
product_predecode_integration.md,complete-instruction P1 placement
product_predictor_request_contract.md,one selected conditional CFI request per packet
predictor_frontend_latency_analysis.md,logical wait and Frontend impact
predictor_frontend_cycle_model.csv,scenario cycle table
predictor_no_cfi_fastpath.md,no-CFI and JAL bypass decisions
product_jalr_semantics.md,no-target foundation behavior
packet_prediction_mask_semantics.md,pre-admission younger-lane policy
fetch_buffer_ftq_atomicity.md,shared FB/FTQ fire and full backpressure
product_ftq_reference_layout.csv,index generation lane offset propagation
pc_storage_tradeoff.csv,correctness-first staged PC migration
product_mispredict_resolution.md,formal comparison classes
branch_actual_metadata_lifetime.md,Execute-to-Commit outcome lifetime
commit_predictor_update_requirements.md,commit-qualified BIM and reclaim ordering
product_ftq_lifetime.md,live-lane event and same-packet recovery contract
generation_ownership_review.md,separate generation scopes
product_redirect_priority.md,recovery and prediction next-PC priority
exception_recovery_integration.md,terminal exception blocker and minimum gap
predictor_product_throughput_model.csv,static logical throughput model
product_integration_ppa_risk.md,non-additive integration risk
product_integration_roadmap.md,ordered small gates and unique next gate
../../../../docs/predictor_ftq_product_integration.md,stable cross-gate architecture summary
