component,source_file,function,state_or_array,estimated_lut,estimated_ff,estimated_bram,gate3_2_structure,gate3_3_structure,suspected_cause,confidence,optimization_candidate,risk,evidence_kind,evidence_path
full_core_delta,src/boom_core_merged.cpp,boom_core_cycle_io,BoomCoreState branch recovery additions,42661,626,0,boom_core_cycle_io instance LUT 40156; no active branch recovery control modules,boom_core_cycle_io instance LUT 82817 with branch_module/recover/kill helpers,"all top-level LUT growth is reported under the synthesized instance hierarchy, not FIFO/DSP/BRAM summaries",HIGH,target recovery helper boundaries and branch kill/rollback structures,medium: changes touch recovery cycle semantics,REPORT_DIRECT,reports/gate3_3/resource_delta.csv; boom_core_top_csynth.rpt
branch_recovery_dispatch,src/branch.cpp,branch_module,Branch update selection plus correct-resolution release and mispredict recovery dispatch.,15506,3678,0,absent or coarse full-flush behavior,separate synthesized helper visible in branch recovery diagnostics,new branch recovery control/data update cone; report hierarchy overlaps and is not additive,HIGH,structure audit,medium,REPORT_DIRECT,boom_hls_gate3_3_boom_core_step_top/solution_top/syn/report/branch_module_csynth.rpt
mispredict_recovery_path,src/branch.cpp,recover_mispredict,Map restore free-list rollback tag pruning mask clear busy rebuild and frontend/decode/rename cleanup.,11724,3529,0,absent or coarse full-flush behavior,separate synthesized helper visible in branch recovery diagnostics,new branch recovery control/data update cone; report hierarchy overlaps and is not additive,HIGH,function-boundary audit; local kill bitmap; packed allocation bitmap,high,REPORT_DIRECT,boom_hls_gate3_3_boom_core_step_top/solution_top/syn/report/recover_mispredict_csynth.rpt
issue_branch_kill,src/branch.cpp,kill_issue_state,Issue-queue and issued-uop younger kill plus compaction.,5799,2018,0,absent or coarse full-flush behavior,separate synthesized helper visible in branch recovery diagnostics,new branch recovery control/data update cone; report hierarchy overlaps and is not additive,HIGH,function-boundary audit; local kill bitmap; packed allocation bitmap,medium,REPORT_DIRECT,boom_hls_gate3_3_boom_core_step_top/solution_top/syn/report/kill_issue_state_csynth.rpt
lsu_branch_kill,src/branch.cpp,kill_lsu_state,LDQ/STQ younger kill and compaction.,2269,1060,0,absent or coarse full-flush behavior,separate synthesized helper visible in branch recovery diagnostics,new branch recovery control/data update cone; report hierarchy overlaps and is not additive,HIGH,structure audit,medium,REPORT_DIRECT,boom_hls_gate3_3_boom_core_step_top/solution_top/syn/report/kill_lsu_state_csynth.rpt
rob_branch_kill,src/branch.cpp,kill_rob_younger_than,ROB younger kill after resolved branch index.,1501,46,0,absent or coarse full-flush behavior,separate synthesized helper visible in branch recovery diagnostics,new branch recovery control/data update cone; report hierarchy overlaps and is not additive,HIGH,structure audit,medium,REPORT_DIRECT,boom_hls_gate3_3_boom_core_step_top/solution_top/syn/report/kill_rob_younger_than_csynth.rpt
resolved_mask_clear,src/branch.cpp,clear_resolved_masks_in_state,Global clear of resolved branch-mask bit from HLS-visible in-flight state.,366,57,0,absent or coarse full-flush behavior,separate synthesized helper visible in branch recovery diagnostics,new branch recovery control/data update cone; report hierarchy overlaps and is not additive,HIGH,structure audit,low,REPORT_DIRECT,boom_hls_gate3_3_boom_core_step_top/solution_top/syn/report/clear_resolved_masks_in_state_csynth.rpt
issue_queue_compaction,src/branch.cpp/src/issue.cpp,compact_issue_queue,Issue queue compaction after branch kill.,5473,1982,0,absent or coarse full-flush behavior,separate synthesized helper visible in branch recovery diagnostics,new branch recovery control/data update cone; report hierarchy overlaps and is not additive,HIGH,function-boundary audit; local kill bitmap; packed allocation bitmap,medium,REPORT_DIRECT,boom_hls_gate3_3_boom_core_step_top/solution_top/syn/report/compact_issue_queue_csynth.rpt
rename_branch_tag_and_snapshot_write,src/rename.cpp,rename_module,active_mask/tag_valid/snapshot_valid/br_snapshots,191,214,0,no active tag allocation/snapshot write path,synth_rename_top LUT 268; snapshot RAM is 256x8 RAM_AUTO_1R1W,"low free-tag scan, snapshot write loop, allocation-list update for active tags",HIGH,"snapshot storage and packed allocation-list experiments, but rename delta is not the dominant top-level source",medium,REPORT_DIRECT+RTL_INSTANCE,reports/gate3_3/module_csynth_summary.csv; rtl_structure_inventory.csv
issue_branch_mask_kill_refresh,src/issue.cpp/src/branch.cpp,issue_module; kill_issue_state; compact_issue_queue,issue.alu_iq.entries[*].uop.branch.br_mask,3969,22,0,IQ select/compact without branch kill/clear,IQ branch mask RAM_AUTO_1R1W plus kill and compaction helpers,entry-wise branch-mask compare plus compaction/state rewrite,HIGH,D1/D4 local kill bitmap and shared mask computation,medium: wrong-path uop must not survive with side effects,REPORT_DIRECT+RTL_INSTANCE,reports/gate3_3/resource_delta.csv; branch_recovery_csynth_diagnostics.csv
snapshot_storage,include/boom_state.hpp/src/rename.cpp/src/branch.cpp,save_map_snapshot; restore_map_snapshot,rename.int_map_table.br_snapshots[32][8],not_isolated_storage_logic_in_rename_and_recover,not_isolated,0,present as unused 0R0W RAM in generated RTL,256x8 RAM_AUTO_1R1W reg-array RAM; no complete partition; BRAM total unchanged,restore loop reads 32 snapshot entries through dynamic tag address; storage itself is not dominant,HIGH,A2/A4 only after access-port proof; packed row may trade mux shape for storage width,medium: restore cycle semantics and x0 mapping must remain exact,RTL_INSTANCE+REPORT_DIRECT,rtl_structure_inventory.csv; boom_core_top_*br_snapshots*_RAM_AUTO_1R1W.v
allocation_list_rollback,include/boom_state.hpp/src/rename.cpp/src/branch.cpp,record_pdst_for_active_branches; rollback_free_list; prune_recovered_tags,branch_state.br_alloc_lists[8][52],included_in_recover_mispredict_11724_and_branch_module_15506,included_in_branch_state_storage,0,absent,416x1 RAM_AUTO_1R1W reg-array RAM plus nested rollback/clear loops,"rollback scans 51 physical regs, checks map membership, duplicate-free-list membership, then clears allocation bits across active tags",HIGH,B1 packed ap_uint<52> bitmap and B4 duplicate-safe set operation candidate,high: duplicate-safe recycle and same-cycle rollback semantics must be preserved,RTL_INSTANCE+LOG_EVIDENCE+ENGINEERING_INFERENCE,rtl_structure_inventory.csv; solution_baseline.log partial-write records; src/branch.cpp
