# BOOM-HLS Mismatch List, Gate 3.8 Update 2026-07-28
mismatch_id,status,test,severity,type,first_error_event,module_affected,expected_behavior,baseline_behavior,root_cause,fix,fix_risk,closure_evidence
M001,VERIFIED,"t4_war; gate1 WAR chain",HIGH,FUNCTIONAL,"commit rd=x2 produced value from ADD x2,x1,x1 in the old test","rename; free_list; committed_map_table","WAR test must read the old logical x1 value with ADD x2,x1,x0; sources should read speculative map_table and stale_pdst must be old destination mapping","old test encoded ADD x2,x1,x1 while expecting x2=x1; prior source lookup used committed_map_table rather than BOOM-style speculative map_table","test construction error plus non-BOOM rename source lookup","restore source reads to mt.map_table; keep committed_map_table commit-only; correct t4 encoding; add WAR chain regression","LOW: current serialized pipeline passes; full multi-lane/long-latency rename still needs Verilator trace evidence","directed 25/25; gate1_regression WAR chain PASS"
M002,VERIFIED,"t6_rob_full",HIGH,FUNCTIONAL,"old test classified successful commit of independent one-cycle ADDIs as ROB over-commit","ROB allocate; rename backpressure","when ROB is actually full, allocation must not advance tail and rename valid must be invalidated","old test did not create a full ROB because independent ALU ops commit as fast as they allocate","test did not exercise full ROB state; rob_allocate full check already present","replace t6 with explicit full-ROB state and response-driven allocation attempt","LOW: explicit full condition covered; variable-latency ROB pressure still needs LSU/muldiv modeling","directed 25/25; t6 full ROB backpressure PASS"
M003,VERIFIED,"t10_nt_branch",HIGH,FUNCTIONAL,"first rd=x3 commit was 99 and old test failed before observing final rd=x3 value 10","execute branch; frontend redirect; testbench","BEQ not taken must execute fall-through x3=99 and then sequential x3=10; final x3 must be 10","core did execute fall-through correctly, but old test checked the first x3 write against 10","test observed the wrong event for a not-taken branch sequence","strengthen t10 to require first x3=99 and final x3=10; no branch source change needed","LOW: validates no redirect on not-taken in current no-predictor model","directed 25/25; t10 PASS"
M004,VERIFIED,"t12_jalr",HIGH,FUNCTIONAL,"JALR target was absolute 0x10 in old program, not RESET_VECTOR+16","execute JALR; frontend redirect; testbench","JALR target must be (rs1+imm)&~1 and reach instruction at RESET_VECTOR+16","old program loaded x2=16 but comment expected base+16; core redirected to address 0x10","invalid test program target setup","use AUIPC+ADDI to form RESET_VECTOR+16; keep JALR redirect semantics; frontend stale-response fix also protects redirected fetches","LOW: aligned target covered; odd target masking not separately covered","directed 25/25; t12 PASS"
M005,VERIFIED,"t14_illegal",HIGH,FUNCTIONAL,"illegal all-zero instruction did not reach trap path before prior fix","decode; issue; ROB","illegal instruction must enter implemented ALU/CSR path and retire as trap","illegal uop used an unimplemented IQ type and was dropped","decode default IQ/FU fields routed illegal instruction away from implemented path","illegal decode uses IQ_ALU/FU_ALU and exception cause 2","LOW","directed 25/25; t14 PASS"
M006,VERIFIED,"t17_imem_backpressure; gate1 stale imem",HIGH,FUNCTIONAL,"second delayed response reused fetch_id=0/address=RESET_VECTOR/instruction[0], causing repeated first instruction and timeout","frontend; imem request/response testbench","each fetch request must carry a unique id; delayed response must match pending id before frontend accepts it; stale responses must be dropped","frontend reused fetch_id across sequential requests and accepted matching stale ids; old test also returned hardcoded first response","fetch_id tracking was not monotonic and test did not echo the actual delayed request","increment fetch_id after every accepted request; accept response only while request_sent and id matches pending; delayed test now responds with saved request address/id","MEDIUM: fetch_id wrap and multiple outstanding fetches are not implemented","directed 25/25; gate1 stale-response regression PASS; Vitis csim 5/5"
M007,MISMATCH,various,MEDIUM,PERFORMANCE,"HLS rename remains serialized in synthesis reports","rename_module","BOOM map-table lookup is parallel within rename stage","HLS loop over arrays synthesizes serialized memory access","missing ARRAY_PARTITION/UNROLL directives","defer to post Gate 1-3 timing optimization","LOW functional risk; timing-only until directives are applied","not closed in Gate 1"
M008,PARTIALLY_RESOLVED,various,MEDIUM,PERFORMANCE,"post-LSU baseline csynth timed out before Gate 3.2; pipeline-enabled performance experiment still unresolved","boom_core_top; boom_core_step","conservative baseline must synthesize without unsafe core-loop pipelining; II=1 pipeline must remain a separate proven optimization","Gate 3.1C baseline combined a hardcoded CORE_CYCLE pipeline with per-cycle whole-state copy temporaries","BoomCoreState next_state copy exposed large arrays to HLS auto-partitioning; hardcoded pipeline made the transform mandatory","remove whole-state copy; update state in place; gate CORE_CYCLE pipeline behind BOOM_HLS_ENABLE_CORE_PIPELINE; split baseline/performance directives","LOW for accepted baseline because frozen traces are byte-identical; MEDIUM for future pipeline work","Gate 3.2 baseline csynth PASS 45.56s 5.898ns; Gate 3.3 baseline csynth PASS 71.69s 5.898ns; Gate 3.4 attribution baseline csynth PASS 69.33s 5.898ns; Gate 3.5 best unaccepted D4 csynth PASS 82789 LUT; performance pipeline NOT_RUN_GATE3_5"
M009,PARTIALLY_VERIFIED,"branch_snapshot_tests; branch_snapshot_random_tests",HIGH,STRUCTURE,"prior br_snapshots array existed but no br_tag allocation/snapshot/restore occurred","rename; branch recovery; free_list; issue; execute; lsu; rob","BOOM tracks branch masks and restores rename/free-list state on mispredict while killing younger in-flight state","Gate 3.3 HLS now allocates branch tags, propagates masks, snapshots/restores maps, tracks br_alloc_lists, rolls back free list, rebuilds busy state, clears resolved masks, and kills younger state for the supported subset","prior branch snapshot/free-list allocation-list mechanism was absent; implementation was reconstructed from generated FIRRTL/Verilog because original Chisel source is absent","implement BranchRecoveryState, branch tag allocation/full backpressure, snapshot capture/restore, allocation-list rollback, duplicate-safe free insertion, busy rebuild, branch-mask clear, and ROB/IQ/execute/LDQ/STQ younger kill","MEDIUM/HIGH: strict BOOM cycle equivalence and full memory/predictor/lane interactions remain unproven","Gate 3.5 variants preserve branch snapshot directed 30/30 and expanded random 42/42; no accepted structural optimization; no upgrade to full VERIFIED"
M010,PARTIALLY_VERIFIED,various,MEDIUM,STRUCTURE,"committed_map_table path was previously conflated in docs","rename; commit; branch recovery","rename source reads use speculative map_table; committed_map_table updates only on commit; branch recovery restores saved speculative snapshots on mispredict","Gate 3.3 code follows this for the supported integer map_table subset and falls back to committed map only if no valid snapshot exists","strict BOOM same-cycle commit/rename/branch interactions still lack official event trace evidence","source lookup restored to map_table; committed update remains in ROB commit; Gate 3.3 adds branch snapshot restore","MEDIUM: no Verilator trace for same-cycle commit/rename interactions or full BOOM branch timing","gate1 WAR/WAW/RAW regressions pass; Gate 3.3 branch map snapshot/restore tests PASS"
