attempt,artifact,evidence_type,status,last_stage,key_evidence
GATE3_2_MACRO_II1,reports/gate3_2/performance_pipeline_csynth.log,RAW_LOG,TIMEOUT_15_MIN,"Presyn 2 transformation/if-conversion","explicit source II=1; 28 implied unrolls; 25 completed; 0 partition records; 73 inline records; no scheduling or report"
GATE3_2_MACRO_II1,reports/gate3_2/performance_pipeline_csynth.time,RAW_TIME,EMPTY,"not captured","zero-byte file; true wall runtime and peak RSS unavailable"
GATE3_2_MACRO_II1,scripts/run_performance_csynth.tcl,TCL,DIRECT_EVIDENCE,setup,"sets top boom_core_top and -DBOOM_HLS_ENABLE_CORE_PIPELINE=1"
GATE3_2_MACRO_II1,scripts/create_project.tcl,TCL,DIRECT_EVIDENCE,setup,"merged source; xczu7ev-ffvc1156-2-e; 10 ns; config_compile -pipeline_loops 0"
GATE3_2_MACRO_II1,directives/performance_directives.tcl,TCL,DIRECT_EVIDENCE,setup,"no unroll, partition, dependence, or resource directive"
GATE3_2_MACRO_II1,boom_hls_gate3_2_performance/hls.app,PROJECT_METADATA,INCOMPLETE,project,"compile flags include -DBOOM_HLS_ENABLE_CORE_PIPELINE=1"
GATE3_2_MACRO_II1,boom_hls_gate3_2_performance/solution_performance/.autopilot/db/boom_core_merged.pp.0.cpp,PREPROCESSED_SOURCE,DIRECT_EVIDENCE,front_end,"CORE_CYCLE contains #pragma HLS PIPELINE II=1"
GATE3_2_MACRO_II1,boom_hls_gate3_2_performance/solution_performance/.autopilot/db/fe_pragma_dump.reflow.0.xml,PRAGMA_DATABASE,DIRECT_EVIDENCE,front_end,"pipeline pragma off=0 ii=1; reset and interfaces retained"
GATE3_2_MACRO_II1,boom_hls_gate3_2_performance/solution_performance/.autopilot/db/autopilot.flow.log,INTERNAL_FLOW,TIMEOUT,"Presyn 2 transformation","Presyn 1 completed; Presyn 2 command started and has no completion record"
GATE3_2_MACRO_II1,reports/gate3_2/top_csynth_modes.csv,STRUCTURED_STATUS,TIMEOUT_15_MIN,transform_if_conversion,"target II=1; no achieved II or report"
GATE3_1C_HARDCODED_PIPELINE,reports/gate3_2/logs/hls_csynth_before.log,RAW_LOG,TIMEOUT_30_MIN,transformation,"pre-refactor whole-state copy; 427 partition records; no scheduling"
GATE3_1C_HARDCODED_PIPELINE,reports/gate3_2/automatic_partition_inventory.csv,ANALYSIS,DIRECT_FROM_LOG,partition,"427 records; 395 next_state temporaries; 65 branch snapshot records"
GATE3_1C_HARDCODED_PIPELINE,reports/gate3_2/csynth_timeout_analysis.md,ANALYSIS,HISTORICAL_CONCLUSION,transformation,"whole-state copy and hardcoded pipeline identified as dominant pre-refactor expansion"
HISTORICAL_SMALL_TEST,test_final2/sol1/sol1.log,RAW_LOG,REPORT_AVAILABLE,scheduling,"historical non-macro design reported target II=1 final II=1 depth=2; not current core evidence"
HISTORICAL_AUDIT,test_final_audit/sol1/.autopilot/db/autopilot.flow.log,RAW_LOG,REPORT_AVAILABLE,scheduling,"unable to satisfy CORE_CYCLE pipeline because subfunction boom_core_step was not pipelined; not macro-enabled Gate 3.2 run"
