artifact,purpose,status
pf2_results.md,final gate verdict,PASS
product_predecode_stage_contract.md,complete-instruction P1 placement,PASS
pf2_fault_jal_precedence.md,fault granularity and PC-order CFI precedence,PASS
predictor_product_state_ownership.md,state ownership,PASS
pf2_frontend_state_machine.md,logical lifecycle,PASS
pf2_conditional_shadow_policy.md,staged safety proof,PASS
pf2_predictor_response_stale_policy.md,identity and cancellation,PASS
pf2_cycle_contract.csv,logical cycle evidence,PASS
directed_test_matrix.csv,product directed evidence,PASS
logs/pf2_predictor_frontend_csim.log,PF2 semantic CSim 2239 checks,PASS
random_test_summary.csv,persistent campaigns,PASS
program_matrix.csv,product scenarios,PASS
rtl_test_matrix.csv,focused RTL evidence,PASS
full_core_rtl_matrix.csv,full-core RTL evidence,PASS
resource_summary.csv,canonical PPA,PASS
stage_resource_delta.csv,PF1-relative PPA,PASS
pf2_critical_path_analysis.md,timing review,PASS
directive_audit.md,no-new-directive audit,PASS
workspace_hygiene_check.md,storage policy,PASS
preservation_runner_selection.md,legacy focused RVC harness lifecycle mismatch,NON_VERDICT_DIAGNOSTIC
gate3_9_preservation/,historical RTL/current harness port-width mismatch,NON_VERDICT_DIAGNOSTIC
