# BOOM-HLS Module Equivalence Mapping, Gate 4.0 W4 Final 2026-08-04
BOOM Module,FIRRTL Module,HLS Function,HLS File,Status,Functional,Cycle,Missing Behavior,Evidence
BoomFrontend,BoomFrontend,frontend_module,frontend.cpp,PARTIAL,PARTIALLY_VERIFIED,MISMATCH,"No ICache/BP/TLB/fetch buffer; one outstanding request; fetch_id wrap not tested","M006 closed; stale response regression PASS"
DecodeUnit,DecodeUnit,decode_module,decode.cpp,IMPLEMENTED,PARTIALLY_VERIFIED,MISMATCH,"No RVC decompressor; partial decode table","directed decode/illegal tests PASS"
RenameStage_Int,RenameStage,rename_module,rename.cpp,PARTIAL,PARTIALLY_VERIFIED,MISMATCH,"Single dispatch lane only; strict BOOM cycle timing not verified; original Chisel source absent","WAR/WAW/RAW/stale-pdst regressions PASS; Gate 3.3 branch tag/mask allocation tests PASS"
RenameMapTable,RenameMapTable,int_map_table,boom_state.hpp+rename.cpp,PARTIAL,PARTIALLY_VERIFIED,INSUFFICIENT_EVIDENCE,"Snapshot/restore implemented for supported subset; no strict BOOM cycle proof","Gate 3.3 map snapshot/restore tests PASS; branch_state_inventory.csv"
RenameFreeList,RenameFreeList,int_free_list,boom_state.hpp+rename.cpp,PARTIAL,PARTIALLY_VERIFIED,INSUFFICIENT_EVIDENCE,"Per-branch allocation rollback implemented for supported subset; full BOOM lane timing not proven","stale-pdst recycle regression PASS; Gate 3.3 free-list rollback tests PASS"
RenameBusyTable,RenameBusyTable,busy_table,boom_state.hpp+rename.cpp+completion.cpp,PARTIAL,PARTIALLY_VERIFIED,MISMATCH,"Three wakeup/bypass ports implemented; no BOOM speculative poison/replay network","W4 peak wakeups/bypass 3; exact publications 17309; recovery tests PASS"
Rob,Rob,rob_allocate+rob_commit_module,rob.cpp+commit.cpp,PARTIAL,PARTIALLY_VERIFIED,MISMATCH,"No PNR tracking; exception handling simplified; branch recovery kills younger entries only in supported subset","ROB full and wrap tests PASS; Gate 3.3 diagnostic csynth PASS"
BasicDispatcher,BasicDispatcher,issue_module dispatch,issue.cpp,PARTIAL,PARTIALLY_VERIFIED,MISMATCH,"Only ALU IQ dispatches; Mem/FPU IQ absent","dispatch/issue same-cycle regression PASS"
IssueUnitCollapsing_Int,IssueUnitCollapsing_2,issue_module select+compress,issue.cpp,PARTIAL,PARTIALLY_VERIFIED,MISMATCH,"Shared IQ supports one fixed INT and one fixed MEM grant; no poison model or strict BOOM cycle proof","W4 fixed MEM/INT dual acceptance; focused RTL 20/20"
IssueUnitCollapsing_Mem,IssueUnitCollapsing_1,issue_module shared MEM selection,issue.cpp,PARTIAL,PARTIALLY_VERIFIED,MISMATCH,"Functional shared-IQ substitute, not a distinct BOOM Mem IQ","W4 fixed MEM grant and backpressure tests PASS"
