state_group,classification,runtime_reset_behavior,representative_rtl_evidence,gate3_8_implication
"top/core HLS FSMs and helper start flags",RESET_EXPLICIT,"return to idle on ap_rst","reports/gate3_8/baseline_artifacts/conservative_rtl/boom_core_top.v:350-367; boom_core_top_boom_core_cycle_io.v:23134-23236","control restarts while architectural state is retained"
"frontend PC/request/response/fetch valid",RESET_INITIAL_ONLY,"initialized at elaboration and updated without an ap_rst branch","boom_core_top_boom_core_cycle_io.v:2088-2092,8714-8718,23292-23330","direct cause of retained 0x80000000 first fetch in R6 and P0"
"frontend fetch packet payload",RESET_INITIAL_ONLY,"instruction and debug PC survive runtime reset","boom_core_top_boom_core_cycle_io.v:8725-8726,23474-23483","payload is not protected because fetch_packet_valid also survives"
"frontend private fetch IDs and response latches",RESET_EXPLICIT,"fetch ID and response tracking return to reset values","boom_core_top_frontend_module.v:222-287","private tracking restarts inconsistently with retained top-level frontend state"
"ROB head/tail/full metadata",RESET_INITIAL_ONLY,"ROB occupancy and pointers survive runtime reset","boom_core_top_boom_core_cycle_io.v:1669,2086-2087,2981,8711-8713,8724,23430-23454,23492-23496","nonempty ROB can remain logically live after control restart"
"ROB valid bits",RESET_INITIAL_ONLY,"RAM reset input is unused; contents come from readmemh only","boom_core_top_boom_core_cycle_io_state_rob_entries_valid_RAM_AUTO_1R1W.v:17-35","stale ROB entries remain visible after reset"
"ROB entry payload and status",RESET_INITIAL_ONLY,"uop/busy/exception/memory RAMs ignore reset","boom_core_top_boom_core_cycle_io.v:12940,12967,14127,14141","retained valids expose retained payload and status"
"IQ pointers/count",RESET_INITIAL_ONLY,"occupancy metadata survives reset","boom_core_top_boom_core_cycle_io.v:636-637,8702-8703,23332-23346","restarted issue control can observe old occupancy"
"IQ entries and valid bits",RESET_INITIAL_ONLY,"valid and payload RAMs ignore reset","boom_core_top_boom_core_cycle_io_state_issue_alu_iq_entries_valid_RAM_AUTO_1R1W.v:17-35","old dependencies and requests can remain active"
"issued uops and valid bits",RESET_INITIAL_ONLY,"issued slots survive runtime reset","boom_core_top_boom_core_cycle_io_state_issue_issued_valids_RAM_AUTO_1R1W.v:17-35","old issued work can remain visible to restarted execute control"
"rename speculative and committed maps",RESET_INITIAL_ONLY,"mapping RAMs ignore reset","boom_core_top_boom_core_cycle_io_state_rename_int_map_table_map_table_RAM_AUTO_1R1W.v:20-46","architectural and speculative mappings are not restored"
