legacy_case_index,legacy_case_name,runner,testbench,stimulus_summary,expected_summary,actual_summary,source_hash,rtl_build_hash,candidate_canonical_case_id,mapping_confidence,mapping_evidence,verdict
0,R4_RESET_LOAD_PENDING,scripts/gate3_9/run_rtl_suite.sh,rtl_tb/boom_core_rtl_tb.sv,delay load response then reset while dmem pending,eventual restart and tohost commit,"older source PASS; 20 commits; 2 resets; 5 dmem",f15d22ae62c0333c1e8cd90a871ffdcf95cb2acea219785c0c615305649b2c2d,NOT_RETAINED,"39|49",AMBIGUOUS,"occupancy and focused reset oracle not retained; candidate stimulus duplicates D7 and P1",LEGACY_ADDITIONAL_RTL_EVIDENCE
1,R5_RESET_STORE_PENDING,scripts/gate3_9/run_rtl_suite.sh,rtl_tb/boom_core_rtl_tb.sv,stall store request then reset while stalled,eventual restart and tohost commit,"older source PASS; 13 commits; 2 resets",f15d22ae62c0333c1e8cd90a871ffdcf95cb2acea219785c0c615305649b2c2d,NOT_RETAINED,"29|39|49",AMBIGUOUS,does not observe SQ owner or reclaim invariant,LEGACY_ADDITIONAL_RTL_EVIDENCE
2,D0_DMEM_READY_ALWAYS,scripts/gate3_9/run_rtl_suite.sh,rtl_tb/boom_core_rtl_tb.sv,normal load_store program with ready memory,eventual tohost commit,"older source PASS; 1 load; 2 stores",f15d22ae62c0333c1e8cd90a871ffdcf95cb2acea219785c0c615305649b2c2d,NOT_RETAINED,16,AMBIGUOUS,does not observe exact response owner tuple or PRF invariant,LEGACY_ADDITIONAL_RTL_EVIDENCE
3,D1_STORE_REQ_STALL,scripts/gate3_9/run_rtl_suite.sh,rtl_tb/boom_core_rtl_tb.sv,stall one committed store request,stable protocol and eventual completion,"older source PASS; one store",f15d22ae62c0333c1e8cd90a871ffdcf95cb2acea219785c0c615305649b2c2d,NOT_RETAINED,29,AMBIGUOUS,does not prove full request channel and retained SQ owner,LEGACY_ADDITIONAL_RTL_EVIDENCE
4,D2_LOAD_REQ_STALL,scripts/gate3_9/run_rtl_suite.sh,rtl_tb/boom_core_rtl_tb.sv,stall each load request once,stable protocol and eventual completion,"older source PASS; 1 load; 2 stores",f15d22ae62c0333c1e8cd90a871ffdcf95cb2acea219785c0c615305649b2c2d,NOT_RETAINED,28,AMBIGUOUS,does not prove internal request channel full or issue state before drain,LEGACY_ADDITIONAL_RTL_EVIDENCE
5,D3_LOAD_RESPONSE_DELAY,scripts/gate3_9/run_rtl_suite.sh,rtl_tb/boom_core_rtl_tb.sv,delay response four model cycles,eventual tohost commit,older source PASS,f15d22ae62c0333c1e8cd90a871ffdcf95cb2acea219785c0c615305649b2c2d,NOT_RETAINED,,UNMAPPABLE,no delay-specific canonical requirement,LEGACY_ADDITIONAL_RTL_EVIDENCE
6,D4_LOAD_RANDOM_DELAY,scripts/gate3_9/run_rtl_suite.sh,rtl_tb/boom_core_rtl_tb.sv,cycle-derived response delay,eventual tohost commit,older source PASS,f15d22ae62c0333c1e8cd90a871ffdcf95cb2acea219785c0c615305649b2c2d,NOT_RETAINED,,UNMAPPABLE,no matching canonical stimulus dimension,LEGACY_ADDITIONAL_RTL_EVIDENCE
7,D5_STALE_LOAD_RESPONSE_AFTER_FLUSH,scripts/gate3_9/run_rtl_suite.sh,rtl_tb/boom_core_rtl_tb.sv,present transaction plus 999 then actual response,eventual tohost commit,older source PASS,f15d22ae62c0333c1e8cd90a871ffdcf95cb2acea219785c0c615305649b2c2d,NOT_RETAINED,"17|23|25",AMBIGUOUS,no slot reuse or transient PRF non-write oracle,LEGACY_ADDITIONAL_RTL_EVIDENCE
8,D6_STORE_DURING_BRANCH_FLUSH,scripts/gate3_9/run_rtl_suite.sh,rtl_tb/boom_core_rtl_tb.sv,branch_taken program without synchronized store/flush trigger,eventual tohost commit,older source PASS,f15d22ae62c0333c1e8cd90a871ffdcf95cb2acea219785c0c615305649b2c2d,NOT_RETAINED,,UNMAPPABLE,scenario name is not established by surviving stimulus,LEGACY_ADDITIONAL_RTL_EVIDENCE
9,D7_DMEM_RESPONSE_DURING_RESET,scripts/gate3_9/run_rtl_suite.sh,rtl_tb/boom_core_rtl_tb.sv,delayed response preserved across reset,eventual restart and tohost commit,"older source PASS; same behavior as R4/P1",f15d22ae62c0333c1e8cd90a871ffdcf95cb2acea219785c0c615305649b2c2d,NOT_RETAINED,"39|49",AMBIGUOUS,duplicate stimulus prevents unique assignment,LEGACY_ADDITIONAL_RTL_EVIDENCE
10,D8_TOHOST_STORE_BACKPRESSURE,scripts/gate3_9/run_rtl_suite.sh,rtl_tb/boom_core_rtl_tb.sv,one forced tohost store stall,eventual tohost commit,"older source PASS; 7 commits",f15d22ae62c0333c1e8cd90a871ffdcf95cb2acea219785c0c615305649b2c2d,NOT_RETAINED,29,AMBIGUOUS,no FIFO-full or SQ reclaim assertion and duplicate of P6,LEGACY_ADDITIONAL_RTL_EVIDENCE
11,P1_RESET_AND_LOAD_RESPONSE,scripts/gate3_9/run_rtl_suite.sh,rtl_tb/boom_core_rtl_tb.sv,same delayed-response reset flow as R4/D7,eventual restart and tohost commit,"older source PASS; same metrics as R4/D7",f15d22ae62c0333c1e8cd90a871ffdcf95cb2acea219785c0c615305649b2c2d,NOT_RETAINED,"39|49",AMBIGUOUS,duplicate stimulus prevents unique assignment,LEGACY_ADDITIONAL_RTL_EVIDENCE
12,P2_RESET_AND_STORE_ACCEPT,scripts/gate3_9/run_rtl_suite.sh,rtl_tb/boom_core_rtl_tb.sv,same stalled-store reset flow as R5,eventual restart and tohost commit,"older source PASS; same metrics as R5",f15d22ae62c0333c1e8cd90a871ffdcf95cb2acea219785c0c615305649b2c2d,NOT_RETAINED,"29|39|49",AMBIGUOUS,no exact queue owner oracle,LEGACY_ADDITIONAL_RTL_EVIDENCE
