carrier,field,bits,producer,consumer,lifetime,required_reason
FetchInstruction,ftq_idx,5,atomic_FTQ_allocation,Decode,FB_enqueue_to_decode,slot_address
FetchInstruction,ftq_generation,32,atomic_FTQ_allocation,Decode,FB_enqueue_to_decode,wrap_stale_protection
FetchInstruction,ftq_lane,1,packet_lane_assignment,Decode,FB_enqueue_to_decode,exact_live_bit
FetchInstruction,ftq_halfword_offset,2,packet_builder,Decode,FB_enqueue_to_decode,base_plus_2byte_units
FetchInstruction,is_rvc,1,packet_builder,Decode,FB_enqueue_to_decode,instruction_length_semantics
MicroOp,ftq_idx,5,Decode,ROB_execute_commit,decode_to_retire_or_squash,slot_address
MicroOp,ftq_generation,32,Decode,ROB_execute_commit,decode_to_retire_or_squash,stale_alias_rejection
MicroOp,ftq_lane,1,Decode,ROB_FTQ_events,decode_to_retire_or_squash,exact_once_lane_clear
MicroOp,ftq_halfword_offset,2,Decode,PC_validation_and_consumers,decode_to_retire,FTQ_PC_reconstruction
MicroOp,is_rvc,1,Decode,Execute_and_trace,decode_to_retire,length_and_link_semantics
ROB_entry,full_reference,40,copied_MicroOp,branch_recovery_commit_FTQ,allocation_to_commit_or_squash,durable_identity
decision,PRODUCT_FTQ_REFERENCE,40,atomic_allocation_and_packet_builder,all_pipeline_consumers,admission_to_terminal_event,ftq_idx_5_plus_generation_32_plus_lane_1_plus_halfword_offset_2
