field,classification,foundation_storage,producer,consumer,lifetime,notes
packet_base_pc,FTQ_REQUIRED_NOW,64,packet_constructor,"PC reconstruction/update",allocation_to_reclaim,"F0 minimal field"
packet_valid_mask,FTQ_REQUIRED_NOW,2,packet_constructor,recovery/allocation,allocation_to_reclaim,"Record post-prediction effective mask"
predicted_valid,FTQ_REQUIRED_WITH_FOUNDATION,1,predictor,response comparison/update,allocation_to_commit_update,"False means no prediction rather than not-taken"
predicted_taken,FTQ_REQUIRED_WITH_FOUNDATION,1,predictor,branch resolution/update,allocation_to_commit_update,"Meaningful only when predicted_valid"
target_valid,FTQ_REQUIRED_WITH_FOUNDATION,1,predictor,branch resolution/update,allocation_to_commit_update,"Required to preserve complete response semantics"
predicted_target,FTQ_REQUIRED_WITH_FOUNDATION,64,predecode/predictor,branch resolution/update,allocation_to_commit_update,"Can be omitted physically for not-taken but logical contract retains it"
cfi_lane,FTQ_REQUIRED_WITH_FOUNDATION,1,predecode,branch resolution/same-packet recovery,allocation_to_commit_update,"Earliest selected CFI lane"
cfi_type,FTQ_REQUIRED_WITH_FOUNDATION,"small enum",predecode,mispredict classification/update,allocation_to_commit_update,"NONE/COND/JAL/JALR/RETURN; RETURN is a JALR subtype"
predictor_metadata,FTQ_REQUIRED_WITH_FOUNDATION,"opaque token; BIM index minimum",predictor,commit training,lookup_to_update,"Do not store whole counter table state"
history_snapshot,FTQ_REQUIRED_WITH_ADVANCED_PREDICTOR,0_in_foundation,advanced_predictor,history_repair/update,lookup_to_update,"No GHR in selected foundation"
ras_snapshot,FTQ_REQUIRED_WITH_ADVANCED_PREDICTOR,0_in_foundation,RAS,RAS repair,lookup_to_resolution,"No RAS in selected foundation"
generation,FTQ_REQUIRED_WITH_FOUNDATION,32,Frontend/predictor_request,response matcher/update validator,request_to_reclaim,"Reuse Frontend epoch at foundation"
live_uop_count,FTQ_REQUIRED_NOW,2,FTQ allocation,retire/squash/reclaim,allocation_to_reclaim,"Initialize popcount effective mask"
ftq_idx,UOP_REQUIRED,5,FTQ allocation,ROB/commit/update,enqueue_to_commit_or_squash,"Not added in P0"
halfword_offset,UOP_REQUIRED,2,packet allocation,PC reconstruction and lane recovery,enqueue_to_commit_or_squash,"Offsets 0..3 encode +0/+2/+4/+6"
actual_taken,ROB_REQUIRED,1,Execute,commit predictor update,resolution_to_commit,"Or equivalent resolved-update record referenced by ROB"
actual_target,ROB_REQUIRED,64,Execute,commit predictor update,resolution_to_commit,"Needed for target/return classification"
bim_counter,PREDICTOR_PRIVATE,0,BIM,BIM lookup/update,persistent,"Never copied into FTQ"
btb_tag,PREDICTOR_PRIVATE,0,BTB,BTB lookup/update,persistent,"BTB deferred"
instruction_payload,NOT_STORED,0,Fetch_Buffer,Decode,enqueue_to_dequeue,"FTQ must not duplicate instruction bytes"
