state,writer,reader,write_cycle,next_read_cycle,dependency_type,distance,required_order,can_overlap,reason,risk_if_ignored,source
state.frontend.pc,"branch recovery; frontend sequential advance",frontend request construction,"k branch recovery or frontend end","k or k+1 frontend",TRUE_RAW+WAW+CONTROL,1,"execute(k-1) -> branch(k) -> frontend request(k); frontend write(k) -> frontend read(k+1)",ORDERED_ONLY,"PC is persistent and redirect is consumed before the next request","wrong-path fetch or duplicate/skipped PC","src/branch.cpp:240-244; src/frontend.cpp:24-31,53-63,79-87"
state.frontend.fetch_tracking,"frontend request/response paths",frontend request and response matching,k,"k+1 or response k+L",TRUE_RAW+WAR+WAW+CONTROL,1_or_L,"fetch_id/pending_fetch_id/request_sent remain stable until response or redirect",NO,"single outstanding request token and response ID are architectural protocol state","duplicate ID, stale response accepted, or request lost","src/frontend.cpp:48-75"
state.frontend.fetch_packet,"frontend; branch recovery",decode and next frontend,k,"k decode; k+1 branch/frontend",TRUE_RAW+WAR+WAW+CONTROL,1,"frontend write(k) -> decode read(k) -> branch/frontend overwrite(k+1)",ORDERED_ONLY,"packet has no downstream ready handshake and is retained in state","decode wrong instruction or packet dropped","src/frontend.cpp:78-87; src/decode.cpp:99-103; src/branch.cpp:236-240"
state.decode,"decode; branch mask cleanup/recovery",rename and next branch/decode,k,"k rename; k+1 branch/decode",TRUE_RAW+WAR+WAW+CONTROL,1,"decode write(k) -> rename(k); prior decode state read/kill before overwrite(k+1)",ORDERED_ONLY,"valid/uop arrays are persistent stage state","killed uop survives or current uop is lost","src/decode.cpp:97-103,221-222; src/rename.cpp:73-74; src/branch.cpp:62-66,236-237"
state.rename.renamed,"rename; ROB allocation; branch recovery",ROB and issue in k; branch/rename in k+1,k,"k ROB/issue; k+1 branch/rename",TRUE_RAW+WAR+WAW+CONTROL,1,"rename -> ROB index assignment -> issue -> next branch cleanup -> next rename reset",NO,"ROB mutates renamed_uop metadata before issue consumes it","wrong ROB index, duplicate issue, or killed uop issued","src/rename.cpp:66-119; src/rob.cpp:41-50; src/issue.cpp:51-59"
state.rename.map_table,"branch restore; rename destination mapping",rename source lookup; commit; future recovery,k,k+1_or_later,TRUE_RAW+WAR+WAW+MEMORY_PORT,1,"recovery before rename; rename(k) mapping before source lookup(k+1)",NO,"speculative logical-to-physical mapping is real architectural state","wrong operands or unrecoverable mapping","src/branch.cpp:183-190; src/rename.cpp:70,91-106; src/commit.cpp:43"
state.rename.committed_map_table,commit,branch fallback recovery,k,k+N,TRUE_RAW+WAW+MEMORY_PORT,N,"commit update before any later fallback restore",ORDERED_ONLY,"committed map is recovery state","recovery restores stale physical map","src/commit.cpp:89-90; src/branch.cpp:187-188"
state.rename.br_snapshots,rename snapshot,branch mispredict recovery,k,k+N,TRUE_RAW+WAR+WAW+MEMORY_PORT,N,"snapshot write -> branch lifetime -> recovery read -> tag reuse",NO,"snapshot must remain stable for live branch tag","restore wrong map after mispredict","src/rename.cpp:53-57,110-112; src/branch.cpp:183-186"
state.rename.free_list,"branch rollback; rename allocation; commit stale-pdst free",next rollback/allocation/free,k,k+1,TRUE_RAW+WAR+WAW+MEMORY_PORT,1,"branch recovery -> rename allocation -> commit free -> next iteration",NO,"head/tail/count and dynamic entries can alias","physical register leak, duplicate allocation, or premature reuse","src/branch.cpp:38-45,193-203; src/rename.cpp:26-38; src/commit.cpp:11-27,91-94"
state.rename.busy_table,"branch rebuild; rename set; LSU/execute/commit clear",rename source capture and issue readiness,k,k_or_k+1,TRUE_RAW+WAR+WAW+MEMORY_PORT,1,"data write before busy clear; branch/LSU/rename/issue/execute/commit source order preserved",NO,"scoreboard feedback determines wakeup and issue","RAW hazard or permanent stall","src/branch.cpp:173-180; src/rename.cpp:95-105; src/lsu.cpp:145-149; src/execute.cpp:76-79; src/issue.cpp:11-13,46-47"
state.branch_state.tags,"rename allocation; branch release/recovery",next rename allocation and recovery,k,k+1_or_N,TRUE_RAW+WAR+WAW+CONTROL,1_or_N,"allocate -> propagate mask -> resolve/recover -> release -> reuse",NO,"branch tags and active mask persist across processor cycles","tag collision or wrong younger-state kill","src/rename.cpp:77-88,110-115; src/branch.cpp:52-60,212-223"
state.branch_state.br_alloc_lists,"rename record; branch rollback/prune",future rollback and allocation tracking,k,k+N,TRUE_RAW+WAR+WAW+MEMORY_PORT,N,"record younger pdsts until branch resolution; read before clear/reuse",NO,"per-tag allocation lists are long-lived recovery state","leaked or incorrectly freed physical register","src/rename.cpp:41-50,107-112; src/branch.cpp:47-49,193-220"
state.rob.pointers,"branch recovery; ROB allocate; commit",next branch/LSU/allocate/commit,k,k+1,TRUE_RAW+WAR+WAW+CONTROL,1,"branch tail repair -> LSU scans -> allocate tail -> commit head -> next iteration",NO,"circular queue head/tail/full state is shared by several writers","queue corruption, overwrite, or wrong retirement","src/branch.cpp:154-170; src/rob.cpp:42-52; src/commit.cpp:37-98"
