artifact,status,purpose
pf3r_results.md,PRESENT,verdict and remaining blockers
pf3r_ppa_root_cause.md,PRESENT,BRAM timing and LUT root cause
resource_summary.csv,PRESENT,final PF3A canonical synthesis result
stage_resource_delta.csv,PRESENT,PF2 and initial PF3 comparison
experiment_matrix.csv,PRESENT,E1A through E5 decisions
pf3r_bram_ownership.csv,PRESENT,logical memory mapping evidence
pf3r_critical_path.csv,PRESENT,before and after timing evidence
generation_sidecar_audit.md,PRESENT,producer consumer and stale safety audit
architecture_contract_audit.md,PRESENT,frozen PF3 semantic and source-scope audit
directive_audit.md,PRESENT,S0 and storage directive audit
verification_matrix.csv,PRESENT,functional RTL and preservation status
pf3r_program_matrix.csv,PRESENT,12-program native and CSim exact comparison
pf3r_full_core_rtl_matrix.csv,PRESENT,12-program current canonical RTL results
program_ftq_coverage.csv,PRESENT,per-program RTL FTQ event coverage
pf3a_redirect_retire_fix.md,PRESENT,canonical liveness and prediction-observability fixes
pf3a_provenance.md,PRESENT,current-source and generated-artifact hashes
